"v","pipeline","nMax","survivingDigits","baseCoord","peakX","baselineCurrent","Delta_Baseline","peakY","troughVal","FWHM","curvature","Invariant_Q","CosineMean","Cos99"
700,"y0",5000,41,1.0585287168830704808e204,1.0585287168830704808e204,0.60530232279754658826,0.0075596299485489999125,0.7537384158931673,0.73860169430927996368,0.000560896467654004,-209750.13499987722,0.1473917480354647,-0.3361814498400128305,4
700,"g0",5000,43,7.7495870864324806629e201,7.7495870864324806629e201,1.0507098276446111266,0.00023974640395018340189,1.085767756910513,1.0428652747019855397,0.0010070443268662835,-216827.0138534135,0.2411542102808034,0.99994510580516443054,20
720,"g0",5000,36,7.5693218221143803179e208,7.5693218221143803179e208,1.038376336187887155,-0.0013457488876476034062,1.0811885505418641,1.0366050204030170976,0.0024025007374908584,-60995.94444309661,0.1913425233439575,0.99994630102531313302,20
740,"g0",5000,30,9.8033087435942773282e214,9.8033087435942773282e214,1.0425251520987495756,0.0022525198679384608435,1.1100643921951063,1.0831308185042787609,0.0006969962751993681,-257174.04414036995,0.14181132768406018,0.99996974384087526115,20
760,"g0",5000,25,7.1108363637387568439e219,7.1108363637387568439e219,1.0852789622667907742,-0.0016268975384367985321,1.0944225758387818,1.0820556339837822285,0.000533137662792808,-172606.5745946283,0.17641358553225747,0.99994988938257203985,20
220,"g0",10000,184,2.1794088308290174199e60,2.1794088308290174199e60,0.96528473800406561413,0.0038558385984074722356,0.9772667248657898,0.95069402719448481365,0.00038705636031031656,-677209.5840661782,0.21082625638469527,0.45878214832535712164,1
240,"g0",10000,178,1.9502106225571139198e66,1.9502106225571139198e66,0.99088243569329318337,0.00096337174372770743156,1.0022987895319633,0.99321292765726840437,0.00044847762514243,-196357.79257278598,0.26891959453449,0.40754493378302167959,1
260,"y0",10000,171,2.6127927896501898913e73,2.6127927896501898913e73,0.52021975379805170614,-0.00364782845642501401,0.6946191187016666,0.67262530612208009415,0.0007703802998320075,-279413.12386542116,0.2643267508301068,-0.087451418256841033583,3
280,"g0",10000,167,5.3401290757798246254e77,5.3401290757798246254e77,1.0064712038223814092,-0.00080829152354891944092,1.0199579223131285,0.99429854692177253359,0.0006843890257694082,-252595.9489951687,0.18292538866666105,0.60934675676861195973,4
300,"y0",10000,159,4.8522027967075431364e85,4.8522027967075431364e85,0.5816233072625746798,-0.0060851264092472217366,0.6708945962018333,0.65227654388628379695,0.0005219064856749611,-297647.77640467166,0.26429511371275577,-0.26752921301652832697,3
